id,user_description,user_location,coordinates,text,geo,user_name,user_created,user_followers,id_str,created,retweet_count,user_bg_color,polarity,subjectivity
351,"Find out the most recent up-to-the-minute news, breaking news and feature stories. UK News Live provides trusted World and UK news as they happen.",,,Donald Trump's Scottish heritage blamed for 'argumentative' nature https://t.co/7hfbCnLccf,,UKNews_Live,2020-04-29T09:30:52,5,1257400322647097344,2020-05-04T20:02:52,0,F5F8FA,0.0,0.0
352,,Contraryland,,"@Minirosemini1 @maddow Are you seriously asking this?
Thousands die every day. With no help from him.
Not everythin… https://t.co/DmBJD3jgmg",,Ben_Dahlke,2017-01-03T17:03:35,55,1257400323137822720,2020-05-04T20:02:53,0,000000,-0.3333333333333333,0.6666666666666666
353,"🔴https://t.co/FqeRATx0mP
Ex JRI tv fi, chaînes Parlement
https://t.co/S4AWU9dUA1
https://t.co/5AJJxt2q1t",,,L'administration du président Donald Trump prévoit un quasi-doublement du nombre de morts quotidiens dus à la pandé… https://t.co/dpvENnwW3x,,ActusPays,2018-07-27T10:31:29,8156,1257400323116806144,2020-05-04T20:02:53,0,F5F8FA,0.0,0.0
354,"TEXT 88022 TRUMP
Retweeted by Pres Trump  on 12/20/2019
IFB Patriots #KAG2020",,,Well said. We arent playing the GLOBALIST GAME right now. Our American lives matter. China has stolen from us lives… https://t.co/Zzp1S7Zg2t,,MomJar1,2016-07-27T18:47:37,13050,1257400323712389121,2020-05-04T20:02:53,0,000000,-0.038095238095238106,0.3119047619047619
355,,,,@IJasonAlexander I know this is wrong - but...  Donald Trump marries Ivanka Trump.  Baby is... Eric Trump.  lol,,etaulbee,2009-05-21T18:41:39,110,1257400324345733128,2020-05-04T20:02:53,0,000000,0.15000000000000002,0.8
356,Review the record of the degenerate Republican party. #Resist for a better world,USA,,"@realDonaldTrump I'm surprised Trump hasn't promised a 5 second testing apparatus. He lies about everything, so why… https://t.co/kuYbSsQ414",,ReviewResist,2011-03-26T22:07:57,11753,1257400323603398658,2020-05-04T20:02:53,0,D63E3E,0.05,0.45
357,"Wife, Mother, Grandmother,  Political/news Junkie",United States,,Are our enemies using Trump to kill us without having to bear the cost of open warfare?,,BMLewis2,2011-08-20T18:35:32,6458,1257400324903456768,2020-05-04T20:02:53,0,C0DEED,0.0,0.5
358,"Unapologetic for my beliefs, thoughts and opinions. Have no patience for LIARS. Smugness makes me sick to my stomach. I'm not a nice person.",Somewhere in the world.,,agreed,,janae_carissa,2019-01-14T22:47:48,17,1257400325113290752,2020-05-04T20:02:53,0,F5F8FA,0.0,0.0
359,"Technology, Science, Futurism, Security, Privacy, Free Speech, Education, and Bad Jokes.   I hate your political party. Sir / Master.",,,We should retaliate in kind. They sent us COVID. We should send them Rosie O'Donnell.,,tech_faq,2011-06-24T09:46:16,46670,1257400325746589698,2020-05-04T20:02:53,0,022330,0.6,0.9
360,"Democracy Savage - Born Thomas Elmer Addison Pain - July 4th, 1976","Gizzard Ridge, AR",,Nothin' to see here.  Just glorification of murder and incitin' violence against reporters.  Not to mention serious… https://t.co/GBnj1PBgYV,,TeaPainUSA,2014-03-31T21:05:45,579522,1257400325905973252,2020-05-04T20:02:53,0,7A0718,0.0,0.0
361,,,,@AkiliAJohnson_ @newmominsomniac @jason_shredz Trump's big buddy! (Even starting to talk like Donnie.),,Madonna33368030,2020-02-06T18:37:29,2,1257400326413602816,2020-05-04T20:02:53,0,F5F8FA,0.0,0.1
362,"Love the Lakers💜💛💜💛
49ers❤💛
Cali 🌴✌ Proud supporter of president Trump.",,,@pamcosquared @mmpadellan Trump is better than Obama. Trump 2020,,get_destroyed,2020-01-13T03:03:50,4,1257400327021748225,2020-05-04T20:02:53,0,F5F8FA,0.5,0.5
363,#democrat #resist #timesup #equalpay #equalrights  Trolls are blocked.,,,@InTheNoosphere @Morning_Joe They got trump elected in 2016 and they will again this year. Are they asking about tr… https://t.co/SWuCvWEU1Q,,Addie34758813,2020-02-12T06:37:34,96,1257400327269232642,2020-05-04T20:02:54,0,F5F8FA,0.0,0.0
364,"Author, Court Jester & more. My Tweets can be thought-provoking, humorous, witty, sarcastic, or controversial. It's my Creative Expression, take it or leave it!",My Groundhog Writing Den,,"DISGUSTING! CHINESE YR2020 OF THE RAT, BAT, BAD LUCK! CHINAMAN EATING WILD SEWER RAT TO CELEBRATE CHINESE YR OF RAT… https://t.co/UySqbfK8K3",,MissFenwgamp,2017-10-25T20:09:23,12,1257400327516631042,2020-05-04T20:02:54,0,000000,-0.3549999999999999,0.4133333333333333
365,"Courage isn't having the strength to go on, 
It is going on when you don't have the Strength. Napoleon Bonaparte",,,@maddow Figures came to light just hours after President Trump at a Fox News town hall revised his own previous dea… https://t.co/PUkYkplsWl,,ppl4justice,2019-08-14T20:31:49,31,1257400328632360965,2020-05-04T20:02:54,0,F5F8FA,0.2777777777777778,0.6222222222222222
